Code,Borough,Names,obesity rate % (age 4-5),obesity rate % (age 10-11)
E05009288,City of London,Aldersgate,s,s
E05009297,City of London,Castle Baynard,s,s
E05009302,City of London,Cripplegate,s,s
E05009308,City of London,Portsoken,s,s
E05000026,Barking and Dagenham,Abbey,13.3%,24.7%
E05000027,Barking and Dagenham,Alibon,10.0%,26.0%
E05000028,Barking and Dagenham,Becontree,12.3%,29.3%
E05000029,Barking and Dagenham,Chadwell Heath,12.8%,24.6%
E05000030,Barking and Dagenham,Eastbrook,12.6%,21.6%
E05000031,Barking and Dagenham,Eastbury,11.5%,26.5%
E05000032,Barking and Dagenham,Gascoigne,16.2%,29.0%
E05000033,Barking and Dagenham,Goresbrook,16.2%,25.2%
E05000034,Barking and Dagenham,Heath,15.0%,26.0%
E05000035,Barking and Dagenham,Longbridge,11.4%,24.9%
E05000036,Barking and Dagenham,Mayesbrook,12.6%,24.3%
E05000037,Barking and Dagenham,Parsloes,14.8%,26.5%
E05000038,Barking and Dagenham,River,17.2%,30.2%
E05000039,Barking and Dagenham,Thames,15.6%,27.0%
E05000040,Barking and Dagenham,Valence,12.2%,24.6%
E05000041,Barking and Dagenham,Village,12.9%,27.9%
E05000042,Barking and Dagenham,Whalebone,12.8%,22.8%
E05000043,Barnet,Brunswick Park,10.8%,16.5%
E05000044,Barnet,Burnt Oak,11.9%,25.3%
E05000045,Barnet,Childs Hill,12.2%,16.9%
E05000046,Barnet,Colindale,12.6%,26.0%
E05000047,Barnet,Coppetts,10.0%,19.5%
E05000048,Barnet,East Barnet,11.3%,22.2%
E05000049,Barnet,East Finchley,7.9%,17.3%
E05000050,Barnet,Edgware,10.9%,17.1%
E05000051,Barnet,Finchley Church End,6.6%,11.6%
E05000052,Barnet,Garden Suburb,6.3%,12.5%
E05000053,Barnet,Golders Green,8.7%,16.4%
E05000054,Barnet,Hale,11.2%,20.6%
E05000055,Barnet,Hendon,7.4%,19.1%
E05000056,Barnet,High Barnet,4.5%,16.1%
E05000057,Barnet,Mill Hill,11.3%,18.2%
E05000058,Barnet,Oakleigh,7.8%,16.9%
E05000059,Barnet,Totteridge,9.0%,17.9%
E05000060,Barnet,Underhill,7.9%,19.5%
E05000061,Barnet,West Finchley,8.5%,14.5%
E05000062,Barnet,West Hendon,9.8%,16.5%
E05000063,Barnet,Woodhouse,9.1%,20.8%
E05000064,Bexley,Barnehurst,9.1%,24.8%
E05000065,Bexley,Belvedere,11.8%,28.4%
E05000066,Bexley,Blackfen and Lamorbey,8.5%,20.0%
E05000067,Bexley,Blendon and Penhill,9.7%,15.8%
E05000068,Bexley,Brampton,6.1%,23.7%
E05000069,Bexley,Christchurch,11.8%,14.2%
E05000070,Bexley,Colyers,11.1%,26.6%
E05000071,Bexley,Crayford,10.1%,19.6%
E05000072,Bexley,Cray Meadows,14.0%,25.4%
E05000073,Bexley,Danson Park,11.5%,22.9%
E05000074,Bexley,East Wickham,10.9%,23.0%
E05000075,Bexley,Erith,13.4%,29.9%
E05000076,Bexley,Falconwood and Welling,10.4%,24.9%
E05000077,Bexley,Lesnes Abbey,13.3%,22.4%
E05000078,Bexley,Longlands,8.2%,17.4%
E05000079,Bexley,North End,15.2%,22.8%
E05000080,Bexley,Northumberland Heath,11.0%,22.5%
E05000081,Bexley,St Mary's,8.7%,14.4%
E05000082,Bexley,St Michael's,9.1%,22.0%
E05000083,Bexley,Sidcup,10.4%,18.4%
E05000084,Bexley,Thamesmead East,17.1%,28.0%
E05000085,Brent,Alperton,8.3%,18.8%
E05000086,Brent,Barnhill,10.8%,25.1%
E05000087,Brent,Brondesbury Park,8.3%,22.9%
E05000088,Brent,Dollis Hill,13.2%,21.9%
E05000089,Brent,Dudden Hill,15.6%,26.7%
E05000090,Brent,Fryent,10.5%,21.2%
E05000091,Brent,Harlesden,15.8%,29.3%
E05000092,Brent,Kensal Green,11.6%,27.1%
E05000093,Brent,Kenton,5.8%,21.6%
E05000094,Brent,Kilburn,11.9%,25.8%
E05000095,Brent,Mapesbury,13.7%,21.6%
E05000096,Brent,Northwick Park,11.5%,20.9%
E05000097,Brent,Preston,13.0%,23.8%
E05000098,Brent,Queens Park,9.9%,17.4%
E05000099,Brent,Queensbury,10.7%,21.5%
E05000100,Brent,Stonebridge,17.0%,26.5%
E05000101,Brent,Sudbury,10.6%,25.9%
E05000102,Brent,Tokyngton,13.1%,27.2%
E05000103,Brent,Welsh Harp,11.2%,26.6%
E05000104,Brent,Wembley Central,9.2%,20.4%
E05000105,Brent,Willesden Green,15.0%,26.7%
