Code,Borough,Names,obesity rate % (age 4-5),obesity rate % (age 10-11)
E05000001,City of London,Aldersgate,s,s
E05000015,City of London,Cripplegate,s,s
E05000017,City of London,Farringdon Within,s,s
E05000021,City of London,Portsoken,s,s
E05000026,Barking and Dagenham,Abbey,15.1%,23.2%
E05000027,Barking and Dagenham,Alibon,9.6%,25.6%
E05000028,Barking and Dagenham,Becontree,12.1%,28.4%
E05000029,Barking and Dagenham,Chadwell Heath,12.1%,28.8%
E05000030,Barking and Dagenham,Eastbrook,10.9%,24.1%
E05000031,Barking and Dagenham,Eastbury,12.3%,24.3%
E05000032,Barking and Dagenham,Gascoigne,15.5%,26.1%
E05000033,Barking and Dagenham,Goresbrook,14.4%,25.8%
E05000034,Barking and Dagenham,Heath,14.2%,25.4%
E05000035,Barking and Dagenham,Longbridge,12.5%,22.6%
E05000036,Barking and Dagenham,Mayesbrook,14.8%,24.9%
E05000037,Barking and Dagenham,Parsloes,14.7%,23.3%
E05000038,Barking and Dagenham,River,16.3%,31.2%
E05000039,Barking and Dagenham,Thames,14.7%,24.9%
E05000040,Barking and Dagenham,Valence,11.8%,21.5%
E05000041,Barking and Dagenham,Village,14.3%,27.8%
E05000042,Barking and Dagenham,Whalebone,12.4%,24.6%
E05000043,Barnet,Brunswick Park,10.3%,15.3%
E05000044,Barnet,Burnt Oak,12.1%,24.4%
E05000045,Barnet,Childs Hill,10.9%,20.1%
E05000046,Barnet,Colindale,13.1%,25.1%
E05000047,Barnet,Coppetts,9.0%,19.1%
E05000048,Barnet,East Barnet,10.3%,21.0%
E05000049,Barnet,East Finchley,6.5%,16.3%
E05000050,Barnet,Edgware,13.1%,20.1%
E05000051,Barnet,Finchley Church End,6.2%,13.2%
E05000052,Barnet,Garden Suburb,5.6%,13.4%
E05000053,Barnet,Golders Green,10.3%,16.5%
E05000054,Barnet,Hale,11.9%,22.1%
E05000055,Barnet,Hendon,9.5%,18.5%
E05000056,Barnet,High Barnet,5.8%,14.5%
E05000057,Barnet,Mill Hill,11.4%,19.1%
E05000058,Barnet,Oakleigh,8.1%,14.8%
E05000059,Barnet,Totteridge,8.3%,16.3%
