New Code,Borough,Names,Median age,Aged 0-15,Population density,White,Mixed,Asian or Asian British,Black or Black British,Other,Born in UK,Not Born in UK,Life Expectancy,Subjective well-being average score,People with Bad or Very Bad Health,Median House Price,Owned: Owned outright,Owned: Owned with a mortgage or loan (inc shared),Social rented,Private rented,Rent Free,Median household income,Lone parent,All Households,% of households with no adults in employment with dependent children+AC1,% Highest level of qualification: Level 4 qualifications and above,Housing benefits claimants,Children in Poverty,Crime rate,Air Emissions,Public Transport Accessibility,Car access,Indices of Deprivation,IDACI
E09000001,City of London,City of London,39,7.5,2312.5,5799,289,940,193,154,4670,2705,86.39368535,7.64033206,3.4,465000,1093,775,725,1573,219,63620,153,4385,0.86659065,68.4,6.459259259,13.9,611.9,94.87,7.677303072,0.385860889,12.12490568,0.119733923
E05000026,Barking and Dagenham,Abbey,29,25.27472527,9884.615385,3596,585,5619,2621,365,5459,7327,81.99842823,7.897959184,4.3,177000,499,1046,1222,1766,39,33920,648,4572,8.748906387,34.5,15.1957672,34.5,182.5680934,53.79,5.850451289,0.54768154,32.72612716,0.438632768
E05000027,Barking and Dagenham,Alibon,32,25.96153846,7464.285714,7275,362,743,1900,105,7824,2561,78.98968687,7.358842142,6.7,160000,584,1265,1462,630,30,32470,832,3971,12.44019139,16.7,19.04054054,35.7,91.38755981,41.69,3.25882082,0.815159909,36.06622536,0.396602145
E05000028,Barking and Dagenham,Becontree,32,24.89626556,8923.076923,6789,524,2009,2048,175,8075,3470,79.22960398,7.609122807,7,170000,684,1409,1257,861,66,33000,880,4277,10.73182137,20.6,16.91017964,34.3,98.79310345,44,2.852044172,0.870236147,31.68654355,0.379744894
E05000029,Barking and Dagenham,Chadwell Heath,34,24.13793103,2970.588235,6224,473,1560,1593,171,7539,2482,80.76129465,7.108108108,6.8,195000,989,1159,1262,487,45,33920,776,3942,10.14713343,19.5,14.81632653,35.6,97.42574257,39.47,2.2609957,0.918061898,38.04450355,0.435468341
E05000030,Barking and Dagenham,Eastbrook,37,20.28301887,3014.285714,7904,331,766,1451,54,8514,1992,79.21238407,7.887916667,5.9,191750,1119,1527,776,436,29,37400,579,3887,6.663236429,18.5,11.86163522,28.4,74.40758294,37.83,2.329689883,1.060457937,25.67453043,0.282000773
E05000031,Barking and Dagenham,Eastbury,32,25.64102564,8357.142857,6776,545,1826,2270,207,7880,3744,82.04757263,8.112745098,6.4,167250,631,1282,1598,737,24,32870,825,4272,11.11891386,20,17.7804878,33.4,81.1965812,48.76,2.824151879,0.782771536,34.9326361,0.417572816
E05000032,Barking and Dagenham,Gascoigne,28,31.67259786,11409.09091,4931,682,2574,3882,383,6447,6005,78.16969931,7.820168067,5.9,145000,366,867,2510,850,52,29480,1075,4645,14.74703983,25.2,23.69879518,38.6,122.2310757,55.35,3.837281261,0.541011841,43.23225216,0.509930365
E05000033,Barking and Dagenham,Goresbrook,33,25.66371681,8730.769231,7517,467,829,2344,110,8244,3023,80.25502754,6.932432432,6.3,155000,572,1366,1576,666,41,33250,870,4221,11.11111111,18.8,18.4625,33.6,83.6123348,45.74,2.539855622,0.836768538,34.32616823,0.392698362
E05000034,Barking and Dagenham,Heath,32,25.57077626,5425,7304,364,711,2324,83,8183,2603,78.50248431,7.471153846,6.7,155000,713,1119,1955,488,42,31340,908,4317,11.74426685,17.6,20.92207792,40.6,102.8571429,41.56,2.582711846,0.73917072,38.75701647,0.465436661
E05000035,Barking and Dagenham,Longbridge,32,21.88841202,7218.75,4890,460,4797,1092,239,7660,3818,82.23963866,8.110465116,4.6,250000,1093,1525,486,569,47,40570,415,3720,4.919354839,25,6.470588235,19.4,78.78787879,46.15,3.101144356,1.133870968,20.66949142,0.260302061
E05000036,Barking and Dagenham,Mayesbrook,32,26.44230769,5473.684211,7112,422,881,1828,99,7759,2583,80.02405509,7.609610918,7,160000,562,1190,1519,614,47,31530,783,3932,11.03763988,16.2,18.89655172,36,80.19230769,42.92,2.574170075,0.816632757,37.35312244,0.41471387
E05000037,Barking and Dagenham,Parsloes,33,25.75757576,8250,6797,398,794,1734,116,7547,2292,79.89056166,8.303030303,7.1,157000,617,1232,1384,535,33,31860,788,3801,11.76006314,16,17.81428571,35,76.36363636,43.7,2.716172863,0.834517232,35.44978032,0.406170471
E05000038,Barking and Dagenham,River,32,26.31578947,3055.555556,6732,426,919,2657,189,7551,3372,76.54312922,7.426470588,5.5,153500,752,1341,1021,817,38,33490,798,3969,10.20408163,19.5,14.88311688,32.1,93.18181818,43.52,3.048003439,0.834971025,32.25314769,0.369282644
E05000039,Barking and Dagenham,Thames,29,31.52542373,1367.088608,4840,511,1536,3631,210,6742,3986,80.0532621,7.661764706,5.6,167500,385,1090,1757,694,29,32580,851,3955,12.92035398,24.4,19.28275862,37.1,130.462963,45.4,2.248881953,0.720859671,39.18909142,0.470214568
E05000040,Barking and Dagenham,Valence,33,25,7653.846154,6754,436,1178,1386,113,7570,2297,78.8469126,7.515768194,7.6,184000,620,1202,1422,526,36,33200,723,3806,10.06305833,17.8,18.83098592,33.2,81.90954774,43.37,3.194986965,0.846295323,36.10691584,0.379976428
E05000041,Barking and Dagenham,Village,33,24.42396313,5166.666667,7028,452,709,2473,125,7986,2801,78.4505922,7.095289855,6.1,156000,727,1124,1765,768,39,31960,864,4423,10.55844449,17.9,20.40764331,37.9,99.9078341,38.83,2.763059558,0.754465295,39.10238268,0.458508045
E05000042,Barking and Dagenham,Whalebone,34,23.04147465,6656.25,5917,440,2143,1906,169,7484,3091,83.44615218,7.749421832,4.9,189000,995,1578,487,884,27,37180,655,3971,7.579954671,22.4,10.7133758,27.5,86.47887324,43.91,2.880876636,0.971543692,25.59756779,0.313966377
E05000043,Barnet,Brunswick Park,39,20.05988024,5140.625,11212,855,2807,814,706,11327,5067,83.53065232,7.54,4.7,343000,2186,2472,547,800,54,39800,722,6059,4.291137151,34.4,6.626984127,17.8,55.56231003,44.39,2.818291532,1.269351378,13.44047008,0.196509179
E05000044,Barnet,Burnt Oak,32,24.19354839,8690.47619,8472,1007,4687,3178,873,9633,8584,78.82521356,7.4328125,6.1,230000,850,1768,2271,1411,92,29400,1318,6392,9.777847309,24.7,19.23484848,32.8,63.89041096,45.26,3.581288886,0.816489362,27.42324111,0.426962308
